0.016,1.008,1.3891,-1.4806,-9026.7,544.45,33.681,33.681
0.016,0.992,1.1429,-0.87251,-14529,-931.82,44.317,44.317
0.016,0.976,0.93802,-0.80574,-17794,-2407.4,-10.978,10.978
0.016,0.96,0.69964,0.42216,-6286.7,2122.7,-54.949,54.949
0.016,0.944,1.2646,0.70751,4796.5,3618.3,-105.27,105.27
0.016,0.928,1.4008,-0.28248,2673,4492.6,-145.65,145.65
0.016,0.912,0.77148,-0.77217,-6286.1,-637.44,-177.17,177.17
0.016,0.896,0.39965,-0.74059,-18101,-1004.2,-251.95,251.95
0.016,0.88,0.2326,-0.36875,-20838,-1.5687,-282.44,282.44
0.016,0.864,0.026088,-0.15265,-14407,-1943.4,-222.28,222.28
0.016,0.848,0.42863,0.59787,-9632.7,-6334.9,-37.634,37.634
0.016,0.832,1.0161,-0.22252,-6064.3,-5619.5,152.25,152.25
0.016,0.816,0.99511,-0.67728,-7111.8,-5771.1,219.95,219.95
0.016,0.8,0.775,-0.01063,-5679.6,-5392.1,178.27,178.27
0.016,0.784,0.39854,0.31486,-3147.3,-4601,102.3,102.3
0.016,0.768,0.49282,0.16992,-3244.3,1127.9,27.241,27.241
0.016,0.752,0.35801,0.58364,-7559,6515.1,74.241,74.241
0.016,0.736,0.22158,0.96451,-12457,5875.8,145.22,145.22
0.016,0.72,0.93898,0.80136,-12932,5093.1,302.31,302.31
0.016,0.704,1.3967,0.037204,-2874,10332,298.74,298.74
0.016,0.688,1.6283,-0.36634,4815,12069,227.02,227.02
0.016,0.672,1.2755,0.32601,5647,7706.4,15.907,15.907
0.016,0.656,0.64019,0.34001,-7615.8,-2033.8,-19.865,19.865
0.016,0.64,0.19998,0.38444,-10686,-10081,-6.8098,6.8098
0.016,0.624,0.81333,0.073543,-8579.2,-6389.9,12.013,12.013
0.016,0.608,1.6098,-0.040435,-6076.7,-1023.3,-42.86,42.86
0.016,0.592,0.91228,0.2482,-3765.5,4588.7,-80.347,80.347
0.016,0.576,0.68874,0.23387,-225.6,2383.4,-54.758,54.758
0.016,0.56,1.2988,0.017483,6847.3,202.74,-46.948,46.948
0.016,0.544,1.5821,0.34176,7068,211.94,-15.076,15.076
0.016,0.528,1.0939,0.00034856,6304.4,-2561.8,185.32,185.32
0.016,0.512,1.0445,-0.45932,10671,-1070.2,327.54,327.54
0.016,0.496,1.6104,-0.48868,15198,-752.65,376.54,376.54
0.016,0.48,1.2807,-0.35335,12380,-4855.1,260.43,260.43
